name,address,type
th08::Item::Item,0x440050,function
th08::ItemManager::SpawnItem,0x4400a0,function
th08::ItemManager::UpdatePointItemExtendThreshold,0x440470,function
th08::ItemManager::OnUpdate,0x440500,function
th08::Item::CollectPowerSmall,0x440cf0,function
th08::Item::CollectPoint,0x440e40,function
th08::Item::CollectPointSmall,0x441020,function
th08::Item::CollectPowerBig,0x441170,function
th08::Item::CollectTimeOrb,0x4412b0,function
th08::ItemManager::AutoCollectAllItems,0x4413e0,function
th08::ItemManager::ConvertAllPowerItemsToTimeOrbs,0x441450,function
th08::ItemManager::CancelAutoCollect,0x441530,function
th08::ItemManager::OnDraw,0x4415a0,function
th08::Item::Delete,0x441770,function
th08::ItemManager::GetTimeOrbCount,0x4417e0,function
th08::ZunTimer::operator!=,0x441830,function
th08::GameManager::AddPower,0x441850,function
th08::GameWindow::GameWindow,0x4418a0,function
WinMain,0x4418c0,function
th08::AnmManager::`scalar deleting destructor',0x441e10,function
th08::MidiOutput::`scalar deleting destructor',0x441e40,function
th08::GameWindow::Render,0x441e70,function
th08::GameWindow::Present,0x442060,function
th08::GameWindow::GetTimestamp,0x442190,function
th08::GameWindow::InitD3DInterface,0x442200,function
th08::GameWindow::CreateGameWindow,0x442240,function
